VP,VB,Geschlecht,Produkt,B3_Fragen,B1_Präf,B1_Fragen,B2_Kennen,B2_Besitzen,B2_Kaufen,B2_Ästhetik,B2_Alltagstaugl.,B2_Kosten,B2_Kosten_Klingen,B3_Präf,Präf_Diff,Umwelt-FB
1,Ökonomisch,w,P6,0,0,0,1,0,0,2,1,2,0,0,0,119
1,Ökonomisch,w,A6,0,0,0,1,0,0,4,1,12,0,0,0,119
1,Ökonomisch,w,A6.5,0,0,0,1,0,0,2,1,12,0,0,0,119
1,Ökonomisch,w,P5,0,0,0,1,1,1,4,6,2,0,0,0,119
1,Ökonomisch,w,A5,0,2,1,1,1,1,4,6,5,0,0,-2,119
1,Ökonomisch,w,P7,0,0,0,1,1,1,4,5,2,0,0,0,119
1,Ökonomisch,w,A7,1,0,1,0,0,0,5,5,6,0,0,0,119
1,Ökonomisch,w,P4,0,1,0,1,1,1,3,5,4,10,2,1,119
1,Ökonomisch,w,A4,0,0,0,1,0,0,6,5,10,3,0,0,119
1,Ökonomisch,w,P3,0,0,0,1,0,0,5,5,10,0,0,0,119
1,Ökonomisch,w,A3,0,0,1,1,0,0,5,5,15,0,0,0,119
1,Ökonomisch,w,A3.5,0,0,1,1,0,0,5,5,15,0,0,0,119
1,Ökonomisch,w,P2,0,0,0,1,1,1,4,4,0,0,0,0,119
1,Ökonomisch,w,A2,1,2,1,1,0,0,5,4,10,0,0,-2,119
1,Ökonomisch,w,P1,0,0,0,1,1,1,5,5,0,0,0,0,119
1,Ökonomisch,w,A1,1,3,1,1,1,1,6,5,10,0,2,-1,119
2,Ökologisch,w,A3,0,3,0,1,1,1,7,4,19,0,3,0,113
2,Ökologisch,w,A3.5,0,3,0,1,1,1,7,4,19,0,3,0,113
2,Ökologisch,w,P3,1,0,1,1,1,0,5,6,12,0,0,0,113
2,Ökologisch,w,A2,0,3,1,0,0,1,6,6,2.5,0,3,0,113
2,Ökologisch,w,P2,1,0,0,1,0,1,2,6,0,0,0,0,113
2,Ökologisch,w,A7,0,2,1,1,1,1,6,5,2.5,0,3,1,113
2,Ökologisch,w,P7,0,0,0,1,0,0,5,6,1.99,0,0,0,113
2,Ökologisch,w,A4,1,0,0,1,0,1,4,4,30,2,2,2,113
2,Ökologisch,w,P4,0,1,0,1,1,0,6,6,13,14,0,-1,113
2,Ökologisch,w,A6,0,3,0,1,0,0,6,4,15,0,3,0,113
2,Ökologisch,w,A6.5,0,3,0,1,0,0,4,4,15,0,3,0,113
2,Ökologisch,w,P6,0,0,0,1,1,0,4,7,1,0,0,0,113
2,Ökologisch,w,A1,1,3,1,1,1,1,7,4,13,0,3,0,113
2,Ökologisch,w,P1,0,0,0,1,0,0,5,7,0,0,0,0,113
2,Ökologisch,w,A5,0,3,1,1,1,1,5,5,10,0,3,0,113
2,Ökologisch,w,P5,0,0,1,1,0,1,6,7,1.5,0,0,0,113
3,Ökologisch,w,P2,0,0,0,1,0,0,1,3,0,0,0,0,117
3,Ökologisch,w,A2,1,3,1,1,0,0,5,7,1,0,3,0,117
3,Ökologisch,w,P1,0,0,0,1,1,0,1,6,0,0,0,0,117
3,Ökologisch,w,A1,1,2,0,1,1,1,7,7,15,0,3,1,117
3,Ökologisch,w,P6,1,0,0,1,0,0,1,1,3,0,0,0,117
3,Ökologisch,w,A6,0,3,0,1,0,1,7,6,5,0,3,0,117
3,Ökologisch,w,A6.5,0,3,0,1,0,1,6,6,5,0,3,0,117
3,Ökologisch,w,P5,1,2,1,1,1,1,4,7,1.5,0,1,-1,117
3,Ökologisch,w,A5,1,0,0,0,0,1,7,6,5,0,0,0,117
3,Ökologisch,w,P4,0,2,1,1,1,1,3,7,20,12,1,-1,117
3,Ökologisch,w,A4,1,0,0,0,0,1,7,7,25,15,0,0,117
3,Ökologisch,w,P3,0,0,0,1,1,0,5,5,7,0,0,0,117
3,Ökologisch,w,A3,0,3,0,1,1,1,7,7,20,0,3,0,117
3,Ökologisch,w,A3.5,0,3,0,1,1,1,7,7,20,0,3,0,117
3,Ökologisch,w,P7,0,1,0,1,1,1,2,7,1,0,2,1,117
3,Ökologisch,w,A7,1,0,1,1,0,1,7,5,4,0,0,0,117
4,Ökonomisch,w,A2,1,2,1,0,0,0,5,2,2,0,3,1,116
4,Ökonomisch,w,P2,0,0,0,1,1,0,1,1,0,0,0,0,116
4,Ökonomisch,w,A6,0,1,1,0,0,0,4,4,11,0,3,2,116
4,Ökonomisch,w,A6.5,0,1,1,0,0,0,1,1,11,0,3,2,116
4,Ökonomisch,w,P6,1,0,0,1,0,0,1,1,2.99,0,0,0,116
4,Ökonomisch,w,A7,1,3,1,0,0,0,6,7,8,0,3,0,116
4,Ökonomisch,w,P7,1,0,0,1,1,1,2,4,2.5,0,0,0,116
4,Ökonomisch,w,A4,1,3,1,1,0,1,6,7,25,5,3,0,116
4,Ökonomisch,w,P4,0,0,0,1,0,0,2,3,6.99,2.5,0,0,116
4,Ökonomisch,w,A5,1,0,1,1,0,1,6,3,7.5,0,3,3,116
4,Ökonomisch,w,P5,0,0,0,1,1,1,1,7,1.99,0,0,0,116
4,Ökonomisch,w,A1,0,1,0,1,0,0,1,1,0,0,0,-1,116
4,Ökonomisch,w,P1,0,0,0,1,0,0,1,3,9,0,0,0,116
4,Ökonomisch,w,A3,1,3,1,1,1,1,6,7,20,0,3,0,116
4,Ökonomisch,w,A3.5,1,3,1,1,1,1,6,7,20,0,3,0,116
4,Ökonomisch,w,P3,0,0,0,1,1,0,4,5,17,0,0,0,116
5,Ökologisch,w,P2,0,0,0,1,1,1,2,2,0,0,0,0,132
5,Ökologisch,w,A2,0,3,0,0,0,1,4,2,2,0,0,-3,132
5,Ökologisch,w,P1,0,0,0,1,1,1,5,6,0,0,0,0,132
5,Ökologisch,w,A1,0,2,1,1,1,1,7,5,8,0,2,0,132
5,Ökologisch,w,P4,0,3,0,1,1,1,4,4,4,7,2,-1,132
5,Ökologisch,w,A4,1,0,1,0,0,1,4,4,10,5,0,0,132
5,Ökologisch,w,P3,0,2,0,1,1,0,3,3,10,0,0,-2,132
5,Ökologisch,w,A3,0,0,0,1,1,0,6,2,20,0,0,0,132
5,Ökologisch,w,A3.5,0,0,0,1,1,0,4,2,20,0,0,0,132
5,Ökologisch,w,P7,0,1,0,1,1,1,5,6,1,0,1,0,132
5,Ökologisch,w,A7,0,0,0,1,0,0,4,5,7,0,0,0,132
5,Ökologisch,w,P6,0,0,0,1,0,0,6,6,0.3,0,0,0,132
5,Ökologisch,w,A6,0,2,0,0,0,1,5,5,10,0,3,1,132
5,Ökologisch,w,A6.5,0,2,0,0,0,1,5,5,10,0,3,1,132
5,Ökologisch,w,P5,0,2,0,1,1,1,5,6,1.5,0,2,0,132
5,Ökologisch,w,A5,0,0,0,1,1,0,5,2,8,0,0,0,132
6,Ökonomisch,w,A2,0,3,1,1,1,1,6,6,1,0,3,0,132
6,Ökonomisch,w,P2,0,0,0,1,1,0,1,4,0,0,0,0,132
6,Ökonomisch,w,A3,0,3,1,1,1,1,7,7,15,0,3,0,132
6,Ökonomisch,w,A3.5,0,3,1,1,1,1,7,7,15,0,3,0,132
6,Ökonomisch,w,P3,0,0,0,1,0,0,4,7,10,0,0,0,132
6,Ökonomisch,w,A7,1,3,1,1,1,1,7,7,2.5,0,3,0,132
6,Ökonomisch,w,P7,0,0,0,1,0,0,4,7,1,0,0,0,132
6,Ökonomisch,w,A4,1,3,1,1,0,1,7,7,19,3,3,0,132
6,Ökonomisch,w,P4,0,0,0,1,1,0,4,7,12,5,0,0,132
6,Ökonomisch,w,A5,0,3,0,1,1,1,6,6,6,0,3,0,132
6,Ökonomisch,w,P5,0,0,0,1,0,0,5,7,4,0,0,0,132
6,Ökonomisch,w,A1,1,3,1,1,1,1,7,6,12,0,3,0,132
6,Ökonomisch,w,P1,0,0,0,1,0,0,1,6,0,0,0,0,132
6,Ökonomisch,w,A6,0,3,0,1,1,1,6,5,10,0,3,0,132
6,Ökonomisch,w,A6.5,0,3,0,1,1,1,6,5,10,0,3,0,132
6,Ökonomisch,w,P6,0,0,0,1,0,0,4,7,1,0,0,0,132
7,Ökologisch,w,P7,0,0,1,1,1,1,1,7,0.7,0,0,0,121
7,Ökologisch,w,A7,1,1,0,1,0,1,4,6,5,0,2,1,121
7,Ökologisch,w,P6,0,0,0,1,1,0,1,2,1,0,0,0,121
7,Ökologisch,w,A6,1,0,1,0,0,0,1,4,9,0,3,3,121
7,Ökologisch,w,A6.5,1,0,1,0,0,0,1,4,9,0,3,3,121
7,Ökologisch,w,P3,0,0,0,1,0,0,1,5,11,0,0,0,121
7,Ökologisch,w,A3,0,3,1,1,1,1,5,6,15,0,3,0,121
7,Ökologisch,w,A3.5,0,3,1,1,1,1,5,6,15,0,3,0,121
7,Ökologisch,w,P1,0,0,0,1,0,1,1,3,0,0,0,0,121
7,Ökologisch,w,A1,1,3,1,1,0,0,3,3,8,0,2,-1,121
7,Ökologisch,w,P5,0,0,0,1,1,1,3,6,2,0,0,0,121
7,Ökologisch,w,A5,1,0,1,1,0,0,6,4,6,0,2,2,121
7,Ökologisch,w,P4,0,1,0,1,1,1,2,6,7,16,2,1,121
7,Ökologisch,w,A4,1,0,1,1,0,0,2,5,25,4,0,0,121
7,Ökologisch,w,P2,1,0,1,1,0,0,1,2,0,0,0,0,121
7,Ökologisch,w,A2,1,3,0,0,0,0,4,5,2,0,3,0,121
8,Ökonomisch,w,A3,0,2,0,1,1,1,6,7,20,0,2,0,100
8,Ökonomisch,w,A3.5,0,2,0,0,0,1,6,7,20,0,2,0,100
8,Ökonomisch,w,P3,0,0,0,1,1,1,5,7,17,0,0,0,100
8,Ökonomisch,w,A5,1,0,1,1,0,1,4,3,5,0,0,0,100
8,Ökonomisch,w,P5,0,2,0,1,1,1,5,6,2,0,1,-1,100
8,Ökonomisch,w,A6,0,1,1,1,0,0,4,2,6,0,1,0,100
8,Ökonomisch,w,A6.5,0,1,1,1,0,0,3,2,6,0,1,0,100
8,Ökonomisch,w,P6,0,0,0,1,0,0,3,2,0.39,0,0,0,100
8,Ökonomisch,w,A1,0,3,0,1,1,0,6,7,12,0,1,-2,100
8,Ökonomisch,w,P1,0,0,0,1,0,1,2,3,0,0,0,0,100
8,Ökonomisch,w,A7,1,0,1,0,0,0,4,6,3,0,0,0,100
8,Ökonomisch,w,P7,0,2,0,1,1,1,5,7,1,0,1,-1,100
8,Ökonomisch,w,A2,0,1,0,0,0,0,5,3,3,0,2,1,100
8,Ökonomisch,w,P2,0,0,0,1,0,0,1,2,0,0,0,0,100
8,Ökonomisch,w,A4,1,0,1,0,0,0,5,6,13,10,0,0,100
8,Ökonomisch,w,P4,0,2,0,1,1,1,5,6,5,3,1,-1,100
9,Ökologisch,w,P5,0,0,0,1,0,0,3,7,3,0,0,0,104
9,Ökologisch,w,A5,1,3,0,1,1,1,6,7,6,0,3,0,104
9,Ökologisch,w,P1,0,0,0,1,0,0,2,6,0,0,0,0,104
9,Ökologisch,w,A1,0,3,0,1,1,1,7,7,10,0,3,0,104
9,Ökologisch,w,P4,0,0,0,1,0,0,6,5,10,15,0,0,104
9,Ökologisch,w,A4,0,3,0,0,0,0,7,6,20,6,3,0,104
9,Ökologisch,w,P3,0,0,0,1,1,1,7,7,10,0,0,0,104
9,Ökologisch,w,A3,0,3,0,1,0,1,7,7,15,0,2,-1,104
9,Ökologisch,w,A3.5,0,3,0,1,0,1,7,7,15,0,2,-1,104
9,Ökologisch,w,P2,0,0,0,1,0,0,1,1,0,0,0,0,104
9,Ökologisch,w,A2,0,3,0,1,0,1,5,6,3,0,3,0,104
9,Ökologisch,w,P7,0,0,0,1,0,0,5,7,2,0,0,0,104
9,Ökologisch,w,A7,1,3,0,1,1,1,7,7,3,0,3,0,104
9,Ökologisch,w,P6,0,0,0,1,0,0,4,1,1,0,0,0,104
9,Ökologisch,w,A6,0,2,0,1,0,0,7,4,10,0,3,1,104
9,Ökologisch,w,A6.5,0,2,0,1,0,0,6,4,10,0,3,1,104
10,Ökologisch,w,A7,0,2,0,1,1,1,6,7,6,0,3,1,112
10,Ökologisch,w,P7,0,0,0,1,1,0,5,7,2,0,0,0,112
10,Ökologisch,w,A1,0,3,1,1,0,1,6,5,15,0,3,0,112
10,Ökologisch,w,P1,0,0,0,1,0,0,2,5,0,0,0,0,112
10,Ökologisch,w,A6,1,1,1,1,1,1,4,5,6.5,0,3,2,112
10,Ökologisch,w,A6.5,1,1,1,1,1,1,7,5,6.5,0,3,2,112
10,Ökologisch,w,P6,0,0,0,1,1,0,2,7,1.5,0,0,0,112
10,Ökologisch,w,A4,0,0,0,1,0,0,7,1,17,2,0,0,112
10,Ökologisch,w,P4,0,2,0,1,1,1,5,7,7,12,2,0,112
10,Ökologisch,w,A3,0,0,0,1,0,1,6,7,20,0,2,2,112
10,Ökologisch,w,A3.5,0,0,0,1,0,1,6,7,20,0,2,2,112
10,Ökologisch,w,P3,0,0,0,1,0,0,6,7,15,0,0,0,112
10,Ökologisch,w,A5,1,3,0,1,1,1,5,7,4,0,2,-1,112
10,Ökologisch,w,P5,1,0,0,1,1,1,4,5,2.7,0,0,0,112
10,Ökologisch,w,A2,0,2,0,1,1,1,4,6,1.5,0,3,1,112
10,Ökologisch,w,P2,0,0,0,1,0,0,1,2,0,0,0,0,112
11,Ökonomisch,w,P1,0,0,0,1,0,0,1,1,0,0,0,0,78
11,Ökonomisch,w,A1,0,0,0,0,0,1,5,4,5,0,3,3,78
11,Ökonomisch,w,P4,0,0,0,1,0,0,1,2,7,12,0,0,78
11,Ökonomisch,w,A4,0,0,0,1,0,0,7,2,15,5,2,2,78
11,Ökonomisch,w,P3,0,0,0,1,1,1,5,7,20,0,0,0,78
11,Ökonomisch,w,A3,0,3,0,0,0,0,6,1,20,0,3,0,78
11,Ökonomisch,w,A3.5,0,3,0,0,0,0,6,7,20,0,3,0,78
11,Ökonomisch,w,P6,0,3,0,1,1,1,4,3,3,0,3,0,78
11,Ökonomisch,w,A6,0,0,0,0,0,0,7,1,8,0,0,0,78
11,Ökonomisch,w,A6.5,0,0,0,0,0,0,7,1,8,0,0,0,78
11,Ökonomisch,w,P7,0,3,0,1,1,1,5,7,2,0,3,0,78
11,Ökonomisch,w,A7,0,0,0,0,0,0,1,7,4,0,0,0,78
11,Ökonomisch,w,P5,0,0,0,1,1,1,7,7,3,0,0,0,78
11,Ökonomisch,w,A5,1,1,1,0,0,1,2,7,3,0,3,2,78
11,Ökonomisch,w,P2,0,0,0,1,1,1,1,7,0,0,0,0,78
11,Ökonomisch,w,A2,0,3,0,0,0,1,1,7,0.5,0,3,0,78
12,Ökologisch,w,A6,1,2,1,1,0,1,6,4,6.99,0,2,0,108
12,Ökologisch,w,A6.5,1,2,1,1,0,1,4,4,6.99,0,2,0,108
12,Ökologisch,w,P6,0,0,0,1,0,1,4,7,6,0,0,0,108
12,Ökologisch,w,A3,1,2,1,1,0,1,6,4,20,0,2,0,108
12,Ökologisch,w,A3.5,1,2,1,1,0,1,3,4,20,0,2,0,108
12,Ökologisch,w,P3,0,0,0,1,0,0,3,6,18,0,0,0,108
12,Ökologisch,w,A4,0,0,0,1,0,0,4,2,30,15,0,0,108
12,Ökologisch,w,P4,1,2,1,1,1,1,4,6,6,4.5,2,0,108
12,Ökologisch,w,A7,1,0,0,1,0,0,6,3,3.5,0,0,0,108
12,Ökologisch,w,P7,0,1,1,1,1,0,5,7,3,0,1,0,108
12,Ökologisch,w,A1,1,2,0,1,0,0,5,4,12,0,1,-1,108
12,Ökologisch,w,P1,0,0,0,1,0,0,2,6,0,0,0,0,108
12,Ökologisch,w,A5,0,0,1,1,1,1,4,4,4,0,0,0,108
12,Ökologisch,w,P5,1,1,0,1,1,1,3,7,3,0,1,0,108
12,Ökologisch,w,A2,1,2,1,1,0,1,5,6,1.5,0,2,0,108
12,Ökologisch,w,P2,0,0,0,1,0,0,1,5,0,0,0,0,108
13,Ökonomisch,w,P7,0,1,1,1,1,1,6,7,1.5,0,2,1,105
13,Ökonomisch,w,A7,0,0,1,1,0,1,7,5,3,0,0,0,105
13,Ökonomisch,w,P4,0,2,0,1,1,1,3,5,7,12,1,-1,105
13,Ökonomisch,w,A4,1,0,1,0,0,1,3,4,20,3,0,0,105
13,Ökonomisch,w,P2,0,0,0,1,0,0,1,5,0,0,0,0,105
13,Ökonomisch,w,A2,0,3,0,1,0,0,5,6,0.7,0,3,0,105
13,Ökonomisch,w,P6,0,0,0,1,0,0,4,4,4,0,0,0,105
13,Ökonomisch,w,A6,1,3,1,1,0,1,7,5,12,0,3,0,105
13,Ökonomisch,w,A6.5,1,3,1,1,1,1,7,5,12,0,3,0,105
13,Ökonomisch,w,P1,0,0,0,1,1,1,2,7,0,0,0,0,105
13,Ökonomisch,w,A1,0,3,1,1,1,1,6,6,8,0,2,-1,105
13,Ökonomisch,w,P3,0,0,0,1,0,0,6,7,10,0,0,0,105
13,Ökonomisch,w,A3,0,3,1,1,1,1,7,4,24,0,3,0,105
13,Ökonomisch,w,A3.5,0,3,1,1,1,1,7,7,24,0,3,0,105
13,Ökonomisch,w,P5,0,0,0,1,1,1,5,7,2,0,0,0,105
13,Ökonomisch,w,A5,0,0,0,1,1,1,7,4,5,0,0,0,105
14,Ökologisch,w,A1,0,3,0,1,1,1,7,5,10,0,3,0,83
14,Ökologisch,w,P1,0,0,0,1,0,0,4,1,0,0,0,0,83
14,Ökologisch,w,A6,0,0,1,0,0,0,2,1,8,0,0,0,83
14,Ökologisch,w,A6.5,0,0,1,0,0,0,1,1,8,0,0,0,83
14,Ökologisch,w,P6,0,1,0,1,0,0,3,1,2,0,0,-1,83
14,Ökologisch,w,A5,1,0,1,1,0,1,2,5,5,0,0,0,83
14,Ökologisch,w,P5,0,1,0,1,1,1,3,6,0.6,0,2,1,83
14,Ökologisch,w,A7,0,0,1,0,0,0,2,6,4,0,0,0,83
14,Ökologisch,w,P7,0,2,0,1,1,1,3,7,1.5,0,3,1,83
14,Ökologisch,w,A3,0,3,0,1,0,0,2,3,10,0,3,0,83
14,Ökologisch,w,A3.5,0,3,0,1,1,0,2,3,10,0,3,0,83
14,Ökologisch,w,P3,0,0,1,1,1,0,2,2,7,0,0,0,83
14,Ökologisch,w,A2,0,0,1,0,0,0,2,2,5,0,2,2,83
14,Ökologisch,w,P2,0,0,0,1,1,1,1,2,0,0,0,0,83
14,Ökologisch,w,A4,0,0,1,0,0,0,1,4,20,7,0,0,83
14,Ökologisch,w,P4,0,2,0,1,1,1,4,7,8,10,3,1,83
15,Ökonomisch,w,P4,0,2,0,1,1,1,5,6,15,8,2,0,131
15,Ökonomisch,w,A4,1,0,0,0,0,1,5,5,25,12,0,0,131
15,Ökonomisch,w,P6,0,0,0,1,0,0,2,1,2.5,0,0,0,131
15,Ökonomisch,w,A6,0,3,0,1,0,0,5,1,20,0,2,-1,131
15,Ökonomisch,w,A6.5,0,3,0,1,0,0,3,1,20,0,2,-1,131
15,Ökonomisch,w,P2,0,0,0,1,0,0,1,2,0,0,0,0,131
15,Ökonomisch,w,A2,0,3,0,1,0,1,5,7,4,0,3,0,131
15,Ökonomisch,w,P7,1,0,1,1,1,1,4,7,3,0,0,0,131
15,Ökonomisch,w,A7,1,3,1,1,1,1,5,7,7,0,2,-1,131
15,Ökonomisch,w,P3,0,0,0,1,0,0,6,4,10,0,0,0,131
15,Ökonomisch,w,A3,0,3,0,1,1,1,6,7,20,0,3,0,131
15,Ökonomisch,w,A3.5,0,3,0,1,0,1,6,7,20,0,3,0,131
15,Ökonomisch,w,P1,0,0,0,1,0,0,1,1,0,0,0,0,131
15,Ökonomisch,w,A1,0,3,0,1,1,1,6,7,17,0,3,0,131
15,Ökonomisch,w,P5,1,1,0,1,1,1,5,7,4,0,0,-1,131
15,Ökonomisch,w,A5,0,0,0,1,0,1,4,6,6,0,2,2,131
16,Ökonomisch,w,A6,0,1,1,0,0,1,5,4,22.5,0,2,1,88
16,Ökonomisch,w,A6.5,0,1,1,0,0,1,3,4,22.5,0,2,1,88
16,Ökonomisch,w,P6,0,0,0,1,0,0,5,4,3,0,0,0,88
16,Ökonomisch,w,A4,0,0,1,0,0,0,6,2,60,10,1,1,88
16,Ökonomisch,w,P4,0,3,1,1,0,0,2,4,17,20,0,-3,88
16,Ökonomisch,w,A7,1,3,1,1,0,1,4,7,5,0,3,0,88
16,Ökonomisch,w,P7,0,0,1,1,1,1,6,7,3,0,0,0,88
16,Ökonomisch,w,A2,0,2,0,1,0,0,3,5,5,0,2,0,88
16,Ökonomisch,w,P2,0,0,0,1,1,0,1,2,0,0,0,0,88
16,Ökonomisch,w,A3,1,3,1,1,1,1,5,6,9,0,3,0,88
16,Ökonomisch,w,A3.5,1,3,1,1,1,0,5,6,9,0,3,0,88
16,Ökonomisch,w,P3,0,0,0,1,1,1,6,7,3,0,0,0,88
16,Ökonomisch,w,A1,1,1,1,1,1,1,6,4,15,0,2,1,88
16,Ökonomisch,w,P1,0,0,0,1,1,1,3,5,0,0,0,0,88
16,Ökonomisch,w,A5,1,0,1,0,0,0,2,2,3,0,0,0,88
16,Ökonomisch,w,P5,1,3,1,1,1,1,5,7,3,0,3,0,88
